TICKER,Date,FIRST,HIGH,LOW,Close,VALUE,Volum,OPENINT,PER,OPEN,LAST
Iran Khodro,1/1/2014,3442,3442,3440,3442,6.03E+11,175162757,4225,D,3310,3442
Iran Khodro,1/4/2014,3570,3579,3451,3568,4.48E+11,125534348,5945,D,3442,3579
Iran Khodro,1/5/2014,3600,3710,3570,3683,3.02E+11,82012643,8044,D,3568,3710
Iran Khodro,1/6/2014,3810,3830,3750,3829,3.14E+11,82018322,5181,D,3683,3830
Iran Khodro,1/7/2014,3899,3982,3851,3964,4.06E+11,102440455,9061,D,3829,3898
Iran Khodro,1/8/2014,3840,4050,3810,3923,2.88E+11,73363403,5827,D,3964,3835
Iran Khodro,1/11/2014,3850,3910,3767,3787,1.50E+11,39596229,2611,D,3923,3782
Iran Khodro,1/12/2014,3690,3782,3636,3643,1.30E+11,35732905,1667,D,3787,3650
Iran Khodro,1/13/2014,3788,3788,3778,3788,1.83E+11,48439995,1823,D,3643,3788
Iran Khodro,1/14/2014,3930,3930,3675,3817,1.05E+11,27624265,2454,D,3788,3681
Iran Khodro,1/15/2014,3750,3788,3665,3685,99842550221,27092366,1922,D,3817,3688
Iran Khodro,1/18/2014,3720,3720,3538,3572,43237498372,12103605,1102,D,3685,3538
Iran Khodro,1/20/2014,3530,3600,3430,3462,27888375938,8056096,529,D,3572,3430
Iran Khodro,1/21/2014,3401,3540,3324,3382,99263749890,29349500,2232,D,3462,3324
Iran Khodro,1/22/2014,3278,3349,3247,3267,91269800433,27933265,2292,D,3382,3247
Iran Khodro,1/25/2014,3260,3397,3260,3368,1.76E+11,52199688,10826,D,3267,3380
Iran Khodro,1/26/2014,3396,3434,3234,3275,52872213419,16146279,1763,D,3368,3234
Iran Khodro,1/27/2014,3144,3264,3144,3152,96546210450,30629207,1281,D,3275,3264
Iran Khodro,1/28/2014,3270,3278,3240,3277,1.37E+11,41821054,1691,D,3152,3278
Iran Khodro,1/29/2014,3348,3408,3311,3402,1.73E+11,50979058,1979,D,3277,3408
Iran Khodro,2/1/2014,3538,3538,3538,3538,1.47E+11,41554361,970,D,3402,3538
Iran Khodro,2/2/2014,3570,3648,3410,3553,2.30E+11,64715587,5786,D,3538,3470
Iran Khodro,2/3/2014,3475,3649,3411,3522,1.43E+11,40579807,3012,D,3553,3594
Iran Khodro,2/4/2014,3630,3660,3401,3584,2.73E+11,76291497,6169,D,3522,3565
Iran Khodro,2/5/2014,3481,3535,3441,3459,30020906132,8680106,703,D,3584,3441
Iran Khodro,2/8/2014,3321,3321,3321,3445,1311745185,394985,65,D,3459,3321
Iran Khodro,2/9/2014,3308,3308,3308,3308,17822418976,5387672,262,D,3445,3308
Iran Khodro,2/10/2014,3220,3289,3176,3192,1.18E+11,36988493,2105,D,3308,3176
Iran Khodro,2/12/2014,3065,3065,3065,3190,147950615,48271,21,D,3192,3065
Iran Khodro,2/15/2014,3063,3178,3063,3071,50829523212,16553764,1413,D,3190,3063
Iran Khodro,2/16/2014,2980,3179,2971,3095,69616079903,22492416,2415,D,3071,3095
Iran Khodro,2/17/2014,3120,3197,2972,3100,67896245196,21905041,2978,D,3095,3100
Iran Khodro,2/18/2014,3010,3028,2976,2980,54998196555,18457875,1395,D,3100,2980
Iran Khodro,2/19/2014,2940,3090,2935,3001,37762629870,12584086,1532,D,2980,3000
Iran Khodro,2/22/2014,3010,3121,3001,3095,58081381225,18768873,1863,D,3001,3089
Iran Khodro,2/23/2014,3159,3189,3061,3127,42703806990,13658139,1713,D,3095,3127
Iran Khodro,2/24/2014,3020,3050,3002,3039,8597532110,2857425,333,D,3127,3002
Iran Khodro,2/25/2014,2934,2950,2918,2950,8874505268,3032806,290,D,3039,2918
Iran Khodro,2/26/2014,2832,2898,2832,2838,47331615547,16676269,1876,D,2950,2838
Iran Khodro,3/1/2014,2850,2951,2820,2919,64992701668,22266441,2023,D,2838,2904
Iran Khodro,3/2/2014,2970,2970,2803,2846,16431967205,5773196,724,D,2919,2803
Iran Khodro,3/3/2014,2733,2733,2733,2747,9215528418,3371946,198,D,2846,2733
